wall_time_unix,elapsed_s,launcher_pid,ov2slam_pid,last_cpu,process_cpu_percent
1780230290.717,0.051,6484,6556,0,19.581
1780230290.770,0.104,6484,6556,0,0.000
1780230290.822,0.156,6484,6556,0,19.055
1780230290.874,0.208,6484,6556,0,0.000
1780230290.926,0.260,6484,6556,0,0.000
1780230290.977,0.311,6484,6556,0,0.000
1780230291.029,0.363,6484,6556,0,19.447
1780230291.080,0.414,6484,6556,0,0.000
1780230291.132,0.465,6484,6556,0,0.000
1780230291.183,0.517,6484,6556,0,0.000
1780230291.234,0.568,6484,6556,0,19.435
1780230291.286,0.620,6484,6556,0,0.000
1780230291.337,0.671,6484,6556,0,0.000
1780230291.389,0.723,6484,6556,0,0.000
1780230291.440,0.774,6484,6556,0,19.469
1780230291.492,0.825,6484,6556,0,0.000
1780230291.543,0.877,6484,6556,0,0.000
1780230291.594,0.928,6484,6556,0,19.465
1780230291.646,0.980,6484,6556,0,19.457
1780230291.697,1.031,6484,6556,0,0.000
1780230291.749,1.082,6484,6556,0,0.000
1780230291.800,1.134,6484,6556,0,0.000
1780230291.851,1.185,6484,6556,0,19.451
1780230291.903,1.237,6484,6556,0,0.000
1780230291.954,1.288,6484,6556,0,0.000
1780230292.005,1.339,6484,6556,0,0.000
1780230292.057,1.391,6484,6556,0,0.000
1780230292.108,1.442,6484,6556,0,19.472
1780230292.160,1.494,6484,6556,0,0.000
1780230292.211,1.545,6484,6556,0,0.000
1780230292.262,1.596,6484,6556,0,19.476
1780230292.314,1.648,6484,6556,0,0.000
1780230292.365,1.699,6484,6556,0,0.000
1780230292.417,1.750,6484,6556,0,0.000
1780230292.468,1.802,6484,6556,0,0.000
1780230292.519,1.853,6484,6556,0,38.811
1780230292.571,1.905,6484,6556,0,0.000
1780230292.622,1.956,6484,6556,0,0.000
1780230292.674,2.008,6484,6556,0,0.000
1780230292.725,2.059,6484,6556,0,0.000
1780230292.776,2.110,6484,6556,0,0.000
1780230292.828,2.162,6484,6556,0,19.470
1780230292.879,2.213,6484,6556,0,0.000
1780230292.931,2.265,6484,6556,0,0.000
1780230292.982,2.316,6484,6556,0,0.000
1780230293.033,2.367,6484,6556,0,19.463
1780230293.085,2.419,6484,6556,0,0.000
1780230293.136,2.470,6484,6556,0,19.468
1780230293.188,2.521,6484,6556,0,0.000
1780230293.239,2.573,6484,6556,0,0.000
1780230293.290,2.624,6484,6556,0,0.000
1780230293.342,2.676,6484,6556,0,0.000
1780230293.393,2.727,6484,6556,0,19.439
1780230293.445,2.778,6484,6556,0,0.000
1780230293.496,2.830,6484,6556,0,0.000
1780230293.547,2.881,6484,6556,0,19.464
1780230293.599,2.933,6484,6556,0,0.000
1780230293.650,2.984,6484,6556,0,0.000
1780230293.702,3.035,6484,6556,0,0.000
1780230293.753,3.087,6484,6556,0,0.000
1780230293.804,3.138,6484,6556,0,19.444
