tid,comm,samples,mean_cpu_percent,max_cpu_percent,dominant_core,last_cpu
15443,ov2_est,1203,31.426,187.414,1,1
15444,ov2_main,1215,14.867,111.189,1,2
15445,ov2_lc,1203,7.554,167.669,3,0
15540,ov2_main,880,9.473,57.035,3,1
15541,ov2_main,880,9.467,57.749,0,1
15542,ov2_main,880,8.937,57.035,0,1
15442,ov2_map,1203,5.160,65.629,2,2
15439,recvUC,1203,0.978,19.247,3,3
15429,ov2slam_node,1215,0.623,19.249,1,1
15446,ov2_feed,1203,0.600,38.156,1,2
15441,ov2slam_node,1203,0.140,19.232,0,2
15437,tev,1203,0.015,18.446,3,3
15430,ov2slam_nod-ust,1203,0.000,0.000,0,0
15431,ov2slam_nod-ust,1203,0.000,0.000,3,3
15432,ov2slam_node,1203,0.000,0.000,0,1
15433,ov2slam_node,1203,0.000,0.000,3,3
15434,gc,1203,0.000,0.000,0,1
15435,dq.builtins,1203,0.000,0.000,2,2
15436,dq.user,1203,0.000,0.000,0,0
15438,recv,1203,0.000,0.000,0,2
15440,ov2slam_node,1203,0.000,0.000,3,3
15676,ov2_merge,1,0.000,0.000,3,3
15682,ov2_merge,1,0.000,0.000,0,0
15778,ov2_merge,1,0.000,0.000,3,3
15783,ov2_merge,2,0.000,0.000,3,3
15813,ov2_merge,3,0.000,0.000,0,0
15818,ov2_merge,1,0.000,0.000,2,2
15824,ov2_merge,1,0.000,0.000,2,2
15829,ov2_merge,2,0.000,0.000,2,2
15834,ov2_merge,3,0.000,0.000,3,3
15838,ov2_merge,1,0.000,0.000,0,0
15907,ov2_merge,3,0.000,0.000,1,1
15915,ov2_merge,8,0.000,0.000,1,1
15920,ov2_merge,6,0.000,0.000,1,1
15923,ov2_merge,5,0.000,0.000,3,3
15926,ov2_merge,4,0.000,0.000,1,1
15929,ov2_merge,3,0.000,0.000,1,1
15932,ov2_merge,2,0.000,0.000,2,2
15936,ov2_merge,1,0.000,0.000,1,1
15939,ov2_merge,3,0.000,0.000,3,3
15943,ov2_merge,1,0.000,0.000,3,3
15949,ov2_merge,1,0.000,0.000,3,3
15964,ov2_merge,1,0.000,0.000,2,2
15969,ov2_merge,2,0.000,0.000,3,3
15972,ov2_merge,1,0.000,0.000,3,3
16031,ov2_merge,4,0.000,0.000,0,0
16036,ov2_merge,1,0.000,0.000,3,3
16040,ov2_merge,1,0.000,0.000,3,3
16064,ov2_merge,1,0.000,0.000,1,1
16068,ov2_merge,2,0.000,0.000,0,0
16072,ov2_merge,7,0.000,0.000,0,0
16078,ov2_merge,3,0.000,0.000,0,0
16084,ov2_merge,5,0.000,0.000,0,0
16089,ov2_merge,1,0.000,0.000,0,0
16098,ov2_merge,18,0.000,0.000,0,0
16104,ov2_merge,14,0.000,0.000,0,0
16109,ov2_merge,12,0.000,0.000,0,3
16113,ov2_merge,9,0.000,0.000,1,1
16117,ov2_merge,8,0.000,0.000,3,3
16122,ov2_merge,5,0.000,0.000,3,3
16127,ov2_merge,3,0.000,0.000,1,1
